,transaction_date,symboling,normalized-losses,make,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,symboling_MinMaxScaler,normalized-losses_MinMaxScaler,wheel-base_MinMaxScaler,length_MinMaxScaler,width_MinMaxScaler,height_MinMaxScaler,curb-weight_MinMaxScaler,engine-size_MinMaxScaler,bore_MinMaxScaler,stroke_RobustScaler,compression-ratio_RobustScaler,horsepower_MinMaxScaler,peak-rpm_MinMaxScaler,city-mpg_MinMaxScaler,highway-mpg_MinMaxScaler,price_RobustScaler,city-L/100km_MinMaxScaler,diesel_RobustScaler,gas_RobustScaler,aspiration_std,aspiration_turbo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_awd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv
0,2025-01-01,3,122,0.016129032258064516,1,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,2,130,0.46774193548387094,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,11.190476190476188,2,0,1,1.0,0.29842931937172773,0.068965517241379,0.4504065040650409,0.3247863247863245,0.0,0.41117145073700545,0.2839506172839506,0.6642857142857144,-2.033333333333331,0.0,0.39622641509433965,0.346938775510204,0.2,0.2894736842105263,0.40021707463368655,0.5333333333333332,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,2025-01-02,3,122,0.016129032258064516,1,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,2,130,0.46774193548387094,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,11.190476190476188,2,0,1,1.0,0.29842931937172773,0.068965517241379,0.4504065040650409,0.3247863247863245,0.0,0.41117145073700545,0.2839506172839506,0.6642857142857144,-2.033333333333331,0.0,0.39622641509433965,0.346938775510204,0.2,0.2894736842105263,0.7435377452800548,0.5333333333333332,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2,2025-03-01,1,122,0.016129032258064516,1,94.5,0.8226814031715521,0.9097222222222222,52.4,2823,3,152,0.46774193548387094,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,12.36842105263158,2,0,1,0.6000000000000001,0.29842931937172773,0.27241379310344804,0.4894308943089434,0.44444444444444464,0.32727272727272716,0.5178432893716058,0.37448559670781895,0.10000000000000009,0.6,0.0,0.6666666666666666,0.346938775510204,0.14285714285714285,0.26315789473684204,0.7435377452800548,0.6315789473684212,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
3,2025-01-04,2,164,0.03763440860215054,0,99.8,0.8486304661220567,0.9194444444444444,54.3,2337,2,109,0.46774193548387094,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,9.791666666666666,2,0,1,0.8,0.5183246073298429,0.45517241379310347,0.5772357723577235,0.5042735042735043,0.5,0.3293250581846392,0.19753086419753085,0.4642857142857142,0.3666666666666659,1.249999999999999,0.339622641509434,0.5510204081632655,0.28571428571428575,0.368421052631579,0.45220073691125645,0.4166666666666667,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
4,2025-05-01,2,164,0.03763440860215054,0,99.4,0.8486304661220567,0.9222222222222224,54.3,2824,1,136,0.46774193548387094,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,13.055555555555555,2,0,1,0.8,0.5183246073298429,0.4413793103448276,0.5772357723577235,0.5213675213675231,0.5,0.5182311869666407,0.30864197530864196,0.4642857142857142,0.3666666666666659,-1.249999999999999,0.42138364779874216,0.5510204081632655,0.11428571428571427,0.1578947368421053,0.8520750621233326,0.6888888888888891,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
5,2025-01-06,2,122,0.03763440860215054,1,99.8,0.8519942335415667,0.9208333333333332,53.1,2507,1,136,0.46774193548387094,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,12.36842105263158,2,0,1,0.8,0.29842931937172773,0.45517241379310347,0.588617886178862,0.5128205128205119,0.39090909090909065,0.3952676493405741,0.30864197530864196,0.4642857142857142,0.3666666666666659,-0.6249999999999994,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,0.600725486275742,0.6315789473684212,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
6,2025-07-01,1,158,0.03763440860215054,0,105.8,0.9259971167707832,0.9916666666666668,55.7,2844,1,136,0.46774193548387094,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,12.36842105263158,2,0,1,0.6000000000000001,0.486910994764398,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.6272727272727279,0.525989138867339,0.30864197530864196,0.4642857142857142,0.3666666666666659,-0.6249999999999994,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,0.8817800119962298,0.6315789473684212,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
7,2025-01-08,1,122,0.03763440860215054,0,105.8,0.9259971167707832,0.9916666666666668,55.7,2954,1,136,0.46774193548387094,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,12.36842105263158,2,0,1,0.6000000000000001,0.29842931937172773,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.6272727272727279,0.5686578743211792,0.30864197530864196,0.4642857142857142,0.3666666666666659,-0.6249999999999994,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,1.0200222787124047,0.6315789473684212,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
8,2025-09-01,1,158,0.03763440860215054,0,105.8,0.9259971167707832,0.9916666666666668,55.9,3086,1,131,0.46774193548387094,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,13.823529411764708,2,0,1,0.6000000000000001,0.486910994764398,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.6454545454545455,0.6198603568657874,0.28806584362139925,0.4214285714285715,0.3666666666666659,-0.8749999999999983,0.5786163522012578,0.5510204081632655,0.08571428571428574,0.10526315789473684,1.586130073405501,0.7529411764705887,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
9,2025-01-10,2,192,0.03763440860215054,1,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,2,108,0.46774193548387094,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,10.217391304347826,1,0,1,0.8,0.6649214659685865,0.5034482758620689,0.5804878048780489,0.38461538461538414,0.5,0.35182311869666405,0.1934156378600823,0.6857142857142857,-1.6333333333333326,-0.2499999999999989,0.33333333333333337,0.6734693877551019,0.2571428571428572,0.3421052631578947,0.7355402587758133,0.45217391304347837,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
11,2025-01-12,0,188,0.03763440860215054,1,101.2,0.8495915425276309,0.8999999999999999,54.3,2710,3,164,0.46774193548387094,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,11.190476190476188,2,0,1,0.4,0.6439790575916231,0.5034482758620689,0.5804878048780489,0.38461538461538414,0.5,0.474010861132661,0.42386831275720166,0.55,-0.3333333333333333,0.0,0.4591194968553459,0.04081632653061229,0.2,0.3157894736842105,1.2542343834794778,0.5333333333333332,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
12,2025-01-13,0,188,0.03763440860215054,0,101.2,0.8495915425276309,0.8999999999999999,54.3,2765,3,164,0.46774193548387094,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,11.190476190476188,2,0,1,0.4,0.6439790575916231,0.5034482758620689,0.5804878048780489,0.38461538461538414,0.5,0.495345228859581,0.42386831275720166,0.55,-0.3333333333333333,0.0,0.4591194968553459,0.04081632653061229,0.2,0.3157894736842105,1.2696581074519437,0.5333333333333332,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
13,2025-01-14,1,122,0.03763440860215054,0,103.5,0.9082172032676598,0.9291666666666668,55.7,3055,3,164,0.46774193548387094,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,11.75,2,0,1,0.6000000000000001,0.29842931937172773,0.5827586206896553,0.7788617886178861,0.5641025641025648,0.6272727272727279,0.6078355314197053,0.42386831275720166,0.55,-0.3333333333333333,0.0,0.4591194968553459,0.04081632653061229,0.17142857142857143,0.23684210526315785,1.6649624403758818,0.5800000000000001,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
14,2025-01-15,0,122,0.03763440860215054,0,103.5,0.9082172032676598,0.9291666666666668,55.7,3230,3,209,0.46774193548387094,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,14.6875,0,0,1,0.4,0.29842931937172773,0.5827586206896553,0.7788617886178861,0.5641025641025648,0.6272727272727279,0.6757176105508145,0.609053497942387,0.7714285714285716,0.3333333333333333,-1.249999999999999,0.8427672955974842,0.5102040816326532,0.05714285714285716,0.1578947368421053,2.3727399960012567,0.8250000000000002,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
16,2025-01-17,0,122,0.03763440860215054,0,110.0,0.9466602594906296,0.9847222222222224,56.3,3505,3,209,0.46774193548387094,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,15.666666666666664,0,0,1,0.4,0.29842931937172773,0.806896551724138,0.9089430894308945,0.9059829059829072,0.6818181818181817,0.7823894491854151,0.609053497942387,0.7714285714285716,0.3333333333333333,-1.249999999999999,0.8427672955974842,0.5102040816326532,0.02857142857142858,0.10526315789473684,3.071948816086373,0.9066666666666665,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
17,2025-01-18,2,121,0.016129032258064516,1,88.4,0.6780394041326285,0.8374999999999999,53.2,1488,4,61,0.3225806451612903,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,5.0,1,0,1,0.8,0.29319371727748694,0.062068965517241725,0.0,0.0,0.40000000000000036,0.0,0.0,0.26428571428571446,-0.8666666666666667,0.6249999999999994,0.0,0.3877551020408163,0.9428571428571428,0.9736842105263157,-0.5530833166719031,0.01702127659574476,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
18,2025-01-19,1,98,0.016129032258064516,1,94.5,0.7491590581451226,0.8833333333333333,52.0,1874,2,90,0.46774193548387094,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,6.184210526315789,1,0,1,0.6000000000000001,0.1727748691099476,0.27241379310344804,0.24065040650406555,0.28205128205128194,0.290909090909091,0.14972847168347558,0.11934156378600824,0.34999999999999987,-0.6,0.7499999999999989,0.1383647798742138,0.5102040816326532,0.6857142857142857,0.7105263157894737,-0.4223815372311559,0.11578947368421061,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
19,2025-01-20,0,81,0.016129032258064516,0,94.5,0.7630946660259491,0.8833333333333333,52.0,1909,2,90,0.3225806451612903,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,6.184210526315789,1,0,1,0.4,0.08376963350785338,0.27241379310344804,0.28780487804878074,0.28205128205128194,0.290909090909091,0.1633048875096974,0.11934156378600824,0.34999999999999987,-0.6,0.7499999999999989,0.1383647798742138,0.5102040816326532,0.6857142857142857,0.7105263157894737,-0.3903915912141898,0.11578947368421061,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
21,2025-01-22,1,118,0.043010752688172046,1,93.7,0.7558865929841423,0.8861111111111111,50.8,1876,2,90,0.3225806451612903,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,7.580645161290323,1,0,1,0.6000000000000001,0.27748691099476436,0.2448275862068967,0.2634146341463417,0.29914529914529897,0.18181818181818166,0.15050426687354534,0.11934156378600824,0.30714285714285716,-0.2,0.5,0.12578616352201255,0.5510204081632655,0.4857142857142857,0.5789473684210527,-0.413013053040473,0.23225806451612913,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
22,2025-01-23,1,118,0.043010752688172046,1,93.7,0.7558865929841423,0.8861111111111111,50.8,2128,2,98,0.46774193548387094,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,9.791666666666666,2,0,1,0.6000000000000001,0.27748691099476436,0.2448275862068967,0.2634146341463417,0.29914529914529897,0.18181818181818166,0.24825446082234293,0.15226337448559674,0.34999999999999987,0.3333333333333333,-1.749999999999999,0.339622641509434,0.5510204081632655,0.28571428571428575,0.368421052631579,-0.23249835765902144,0.4166666666666667,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
23,2025-01-24,1,148,0.043010752688172046,0,93.7,0.7558865929841423,0.8861111111111111,50.6,1967,2,90,0.3225806451612903,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,7.580645161290323,1,0,1,0.6000000000000001,0.43455497382198954,0.2448275862068967,0.2634146341463417,0.29914529914529897,0.16363636363636402,0.18580294802172226,0.11934156378600824,0.30714285714285716,-0.2,0.5,0.12578616352201255,0.5510204081632655,0.4857142857142857,0.5789473684210527,-0.4299220245065836,0.23225806451612913,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
